Time, in s	Altitude in m	Velocity in m/s
53.2	5684.7969176708	252.2621999084
53.3	5708.3249516999	252.7936858155
53.4	5732.0548751881	253.2984847844
53.5	5755.9593663019	253.8061231674
53.6	5779.9897414375	254.3219961833
53.7	5804.0744362004	254.849237423
53.8	5828.121502344	255.3383676197
53.9	5852.0339778618	255.877806269
54	5875.7562192622	256.3936792849
54.1	5899.2854138908	256.9027688587
54.2	5922.6758123747	257.438464554
54.3	5946.0451139026	257.9803504088
54.4	5969.5296451195	258.4848552009
54.5	5993.2544364239	259.0524769188
54.6	6017.3212234017	259.5683499347
54.7	6041.7633730998	260.0842229506
54.8	6066.5451445562	260.6263969568
54.9	6091.5686309725	261.1621298329
55	6116.6778652441	261.6916725495
55.1	6141.707900682	262.2472281051
55.2	6166.546110378	262.7777777778
55.3	6191.152928296	263.3194616089
55.4	6215.5612610212	263.8750171644
55.5	6239.8639801138	264.43057272
55.6	6264.1667925211	264.961087841
55.7	6288.5479374588	265.5166433966
55.8	6313.0537401505	266.0456241211
55.9	6337.6699013203	266.561497137
56	6362.3625533814	267.1100302018
56.1	6387.139221615	267.6457548553
56.2	6412.0532366028	268.1826827861
56.3	6437.2383903804	268.7632787761
56.4	6462.8219048059	269.3188343317
56.5	6488.7989597918	269.8759883506
56.6	6515.0244968883	270.4712264459
56.7	6541.1859426001	271.0476762166
56.8	6566.9680872175	271.6093784244
56.9	6592.1426869694	272.1835616047
57	6616.5742674613	272.7391171603
57.1	6640.3454454677	273.2946727158
57.2	6663.7703127332	273.8752046391
57.3	6687.2235226047	274.4307601946
57.4	6711.0910901302	274.9863157502
57.5	6735.5485002579	275.5555555556
57.6	6760.5670088997	276.1111111111
57.7	6786.0119391264	276.6666666667
57.8	6811.6488640037	277.2222222222
57.9	6837.2554020214	277.7777777778
58	6862.7507459607	278.3333333333
58.1	6888.1639251621	278.9079040127
58.2	6913.6274801286	279.4893872412
58.3	6939.2793048664	280.0449427968
58.4	6965.1688530319	280.6192299431
58.5	6991.2559326848	281.1946339007
58.6	7017.412797443	281.7712509549
58.7	7043.4774294591	282.3664890501
58.8	7069.342784416	282.9427120216
58.9	7094.9760992232	283.5120224438
59	7120.4185322437	284.107260539
59.1	7145.771615687	284.7234495832
59.2	7171.1358517786	285.3385218161
59.3	7196.5868688037	285.9523809524
59.4	7222.1689837101	286.5476190476
59.5	7247.8644286191	287.1428571429
59.6	7273.6223059153	287.7234063454
59.7	7299.3700930502	288.3138026579
59.8	7325.0224156322	288.8922572763
59.9	7350.539370922	289.5119067287
60	7375.9503204506	290.1817652569
60.1	7401.3539602034	290.8759578719
60.2	7426.9066921388	291.5902435862
60.3	7452.7517425521	292.3589007328
60.4	7478.9471598667	293.1573933092
60.5	7505.4567222066	293.9678275797
60.6	7532.1532245857	294.7370670162
60.7	7558.8940842803	295.4662452445
60.8	7585.5969462012	296.2403065977
60.9	7612.2430428234	297.0339573914
61	7638.8943452639	297.827608185
61.1	7665.6667340358	298.6212589787
61.2	7692.682784565	299.4149097723
61.3	7720.0675873312	300.2482431057
61.4	7747.8886615731	301.1507936508
61.5	7776.1183922565	302.0238095238
61.6	7804.6364652583	302.8968253968
61.7	7833.2374737423	303.7698412698
61.8	7861.7193422778	304.6825396825
61.9	7889.9403746583	305.5656861321
62	7917.8201589196	306.4783845448
62.1	7945.3289993883	307.3514004178
62.2	7972.4696788455	308.2244162908
62.3	7999.2766872794	309.1270345089
62.4	8025.8161351775	310.0000503819
62.5	8052.1887002035	310.8333837153
62.6	8078.538924681	311.6962690117
62.7	8105.056713232	312.5692848847
62.8	8131.9693908262	313.4423007578
62.9	8159.4531093206	314.3153166308
63	8187.5591073779	315.1984126984
63.1	8216.2108261789	316.1111111111
63.2	8245.240025479	317.0238095238
63.3	8274.4753158872	317.9761904762
63.4	8303.7554759962	318.8888888889
63.5	8332.9292883191	319.8015873016
63.6	8361.8876526799	320.7142857143
63.7	8390.6087135141	321.5873015873
63.8	8419.1603418259	322.5
63.9	8447.6613175699	323.4126984127
64	8476.1861749602	324.2857142857
64.1	8504.7508891887	325.1984126984
64.2	8533.3181338649	326.1111111111
64.3	8561.8583987501	327.0238095238
64.4	8590.3894205529	327.9761904762
64.5	8618.9767780559	328.8888888889
64.6	8647.7128558387	329.8015873016
64.7	8676.6652774765	330.753968254
64.8	8705.8691488011	331.6666666667
64.9	8735.3295791736	332.5793650794
65	8765.0279785041	333.5317460317
65.1	8794.9188279244	334.4444444444
65.2	8824.9293589151	335.3571428571
65.3	8854.9756773522	336.3095238095
65.4	8885.0073956218	337.2222222222
65.5	8915.0147082107	338.1746031746
65.6	8945.0189114302	339.126984127
65.7	8975.0297594774	340.0793650794
65.8	9005.0311338946	341.0317460317
65.9	9034.9890307478	341.9841269841
66	9064.9074069483	342.9365079365
66.1	9094.8530456048	343.8888888889
66.2	9124.9518149947	344.8015873016
66.3	9155.3021848565	345.753968254
66.4	9185.895790983	346.6666666667
66.5	9216.6164194408	347.5793650794
66.6	9247.3020236398	348.5317460317
66.7	9277.8007235088	349.3999664037
66.8	9307.958777285	350.2356740943
66.9	9337.6244898555	351.0768264251
67	9366.7395529157	351.94769014
